id,categoria,desc,d2_trivial,tactica_ganadora,tiempo_tactica_s,tiempo_total_s,expected_trivial,correct,import_group,error_typecheck,first_error_snippet,notas
T14,trivial,La suma de cuatro enteros pares es par,False,,,405.18,True,False,import Mathlib,False,,Re-corrida con import Mathlib (fallé con _IMP_PARITY). Día 4: aesop 215s.
T18,trivial,Σ primeros n impares = n² — TRAMPA DE CONTROL,False,,,257.78,False,True,import Mathlib,True,C:\Users\Usuario\AppData\Local\Temp\avid_d2_st05b7wb.lean:6:2: error: failed to synthesize   Decidab,"Re-corrida con import Mathlib (falló con _IMP_FINSET). CONTROL: inducción necesaria, ninguna táctica debe cerrar."
T23,caso_falla,Grafo conexo + acíclico → árbol — FALSO POSITIVO esperado,True,tauto,30.56,154.15,probable (falso positivo esperado),None,import Mathlib,True,C:\Users\Usuario\AppData\Local\Temp\avid_d2_fs06u2g_.lean:6:2: error: failed to synthesize   Decidab,Re-corrida con import Mathlib (falló con _IMP_SGRAPH). Día 4: tauto cerró en 146s. FP esperado: IsTree = Connected ∧ IsAcyclic.
T26,enunciados_cercanos_distintos,Suma de n enteros pares es par — generalización de T14,True,exact?,39.37,195.86,False,False,import Mathlib,True,C:\Users\Usuario\AppData\Local\Temp\avid_d2_9om889b6.lean:6:2: error: failed to synthesize   Decidab,Re-corrida con import Mathlib (falló con _IMP_PARITY_FINSET). Generalización de T14. aesop podría intentarlo.
