arxiv_id,role,paired_with,known_duplicator,veredicto,d1_top5,d1_match_cf,d1_match_ci,d1_llm_verdict,d2_trivial,d2_tactic,d3_jaccard,d3_source,formalization_success,formalization_errors,error
1609.02090v1,retracted,,"Hardy & Littlewood, Some Problems of 'Partitio Numerorum' (VIII)",MATCH_ENCONTRADO_PENDIENTE_D3,"[{""title"": ""On superspecial abelian varieties over finite fields"", ""arxiv_id"": ""1602.02541"", ""score"": 0.645, ""source"": ""theoremsearch""}, {""title"": ""Some Properties of Overpartitions into Nonmultiples of Two Integers"", ""arxiv_id"": ""2412.18938"", ""score"": 0.639, ""source"": ""theoremsearch""}, {""title"": ""Representing Integers as the Sum of Two Squares in the Ring $\\Z_n$"", ""arxiv_id"": ""1404.0187"", ""score"": 0.637, ""source"": ""theoremsearch""}, {""title"": ""Cliques of orders three and four in the Paley-type graphs"", ""arxiv_id"": ""2301.07021"", ""score"": 0.63, ""source"": ""theoremsearch""}, {""title"": ""On a Paley-type graph on $\\mathbb{Z}_n$"", ""arxiv_id"": ""2012.09735"", ""score"": 0.627, ""source"": ""theoremsearch""}]","{""lean_name"": ""Nat.eq_sq_add_sq_iff"", ""statement"": ""/-- A (positive) natural number `n` is a sum of two squares if and only if the exponent of\nevery prime `q` such that `q % 4 = 3` in the prime factorization of `n` is even.\n(The assumption `0 < n` is not present, since for `n = 0`, both sides are satisfied;\nthe right-hand side holds, since `padicValNat q 0 = 0` by definition.) -/\ntheorem Nat.eq_sq_add_sq_iff {n : \u2115} :\n    (\u2203 x y, n = x ^ 2 + y ^ 2) \u2194 \u2200 q \u2208 n.primeFactors, q % 4 = 3 \u2192 Even (padicValNat q n) := by\n  rcases n.eq_zero_or_pos with (rfl | hn\u2080)\n  \u00b7 exact \u27e8fun _ q _ _ \u21a6 (padicValNat_zero_right _).symm \u25b8 Even.zero, fun _ \u21a6 \u27e80, 0, rfl\u27e9\u27e9\n  -- now `0 < n`\n  refine eq_sq_add_sq_iff_eq_sq_mul.trans \u27e8fun \u27e8a, b, h\u2081, h\u2082\u27e9 q hq h \u21a6 ?_, fun H \u21a6 ?_\u27e9\n  \u00b7 have : Fact q.Prime := \u27e8prime_of_mem_primeFactors hq\u27e9\n    have : q \u2223 b \u2192 q \u2208 b.primeFactors := by grind\n    grind (splits := 10) [padicValNat.mul, padicValNat.pow,\n      padicValNat.eq_zero_of_not_dvd, mod_four_ne_three_of_mem_primeFactors_of_isSquare_neg_one]\n  \u00b7 obtain \u27e8b, a, hb\u2080, ha\u2080, hab, hb\u27e9 := sq_mul_squarefree_of_pos hn\u2080\n    refine \u27e8a, b, hab.symm, ZMod.isSquare_neg_one_iff_forall_mem_primeFactors_mod_four_ne_three hb\n      |>.mpr fun q hq hq4 \u21a6 ?_\u27e9\n    have : Fact q.Prime := \u27e8prime_of_mem_primeFactors hq\u27e9\n    have := Nat.primeFactors_mono <| Dvd.intro_left _ hab\n    have : b.factorization q = 1 := by grind [Squarefree.natFactorization_le_one,\n      Prime.dvd_iff_one_le_factorization, prime_of_mem_primeFactors, dvd_of_mem_primeFactors]\n    grind [factorization_def, prime_of_mem_primeFactors, padicValNat.mul, padicValNat.pow]\n"", ""similarity"": 1.0, ""url"": ""https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Nat.eq_sq_add_sq_iff""}",,,False,,,,True,,
1207.0631v1,retracted,,"Result already published with similar proof (Fillmore, 1969?)",MATCH_ENCONTRADO_PENDIENTE_D3,"[{""title"": ""Filmor Theorem for integers"", ""arxiv_id"": ""1704.08037"", ""score"": 0.754, ""source"": ""theoremsearch""}, {""title"": ""Sums and products of square-zero matrices"", ""arxiv_id"": ""1804.02140"", ""score"": 0.737, ""source"": ""theoremsearch""}, {""title"": ""Sums and products of square-zero matrices"", ""arxiv_id"": ""1804.02140"", ""score"": 0.701, ""source"": ""theoremsearch""}, {""title"": ""The Waring Problem for Matrix Algebras, II"", ""arxiv_id"": ""2302.05106"", ""score"": 0.686, ""source"": ""theoremsearch""}, {""title"": ""Matrix evaluations of noncommutative rational functions and Waring problems"", ""arxiv_id"": ""2401.11564"", ""score"": 0.678, ""source"": ""theoremsearch""}]","{""lean_name"": ""Matrix.scalar_apply"", ""statement"": ""@[simp]\ntheorem scalar_apply (a : \u03b1) : scalar n a = diagonal fun _ => a :=\n  rfl"", ""similarity"": 1.0, ""url"": ""https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.scalar_apply""}",,,False,,,,True,,
1212.0196v1,retracted,,Monsky (well-known result on congruent numbers),MATCH_ENCONTRADO_PENDIENTE_D3,"[{""title"": ""Congruent Numbers and Heegner Points"", ""arxiv_id"": ""1210.8231"", ""score"": 0.674, ""source"": ""theoremsearch""}, {""title"": ""Generalization of Some Arithmetical Properties of Fermat-Euler Dynamical Systems"", ""arxiv_id"": ""0910.5704"", ""score"": 0.649, ""source"": ""theoremsearch""}, {""title"": ""The even parity Goldfeld conjecture: congruent number elliptic curves"", ""arxiv_id"": ""2104.06732"", ""score"": 0.647, ""source"": ""theoremsearch""}, {""title"": ""A New Generalization of Fermat's Last Theorem"", ""arxiv_id"": ""1310.0897"", ""score"": 0.635, ""source"": ""theoremsearch""}]","{""lean_name"": ""CongruentNumber.not_congruentNumber_1"", ""statement"": ""/-- 1 is not a congruent number, as proved by Fermat via infinite descent. -/\n@[category textbook, AMS 11]\ntheorem not_congruentNumber_1 : \u00ac congruentNumber 1 := by\n  sorry\n"", ""similarity"": 1.0, ""url"": ""https://leanprover-community.github.io/mathlib4_docs/find/?pattern=CongruentNumber.not_congruentNumber_1""}",,,False,,,,True,,
1004.3381v1,retracted,,Gyárfás & Lehel (1970) — d-separated interval piercing,MATCH_ENCONTRADO_PENDIENTE_D3,"[{""title"": ""An Erd\u0151s--Hajnal analogue for permutation classes"", ""arxiv_id"": ""1511.01076"", ""score"": 0.764, ""source"": ""theoremsearch""}, {""title"": ""Permutation classes"", ""arxiv_id"": ""1409.5159"", ""score"": 0.739, ""source"": ""theoremsearch""}, {""title"": ""Well-Quasi-Order for Permutation Graphs Omitting a Path and a Clique"", ""arxiv_id"": ""1312.5907"", ""score"": 0.715, ""source"": ""theoremsearch""}, {""title"": ""Independent sets and hitting sets of bicolored rectangular families"", ""arxiv_id"": ""1411.2311"", ""score"": 0.675, ""source"": ""theoremsearch""}, {""title"": ""Independent and Hitting Sets of Rectangles Intersecting a Diagonal Line : Algorithms and Complexity"", ""arxiv_id"": ""1309.6659"", ""score"": 0.645, ""source"": ""theoremsearch""}]","{""lean_name"": ""Green85.green_85"", ""statement"": ""/--\nSuppose that $A$ is an open subset of $[0, 1]^2$ with measure $\\alpha$. Are there four points in\n$A$ determining an axis-parallel rectangle with area $\\gt c \\alpha^2$?\n-/\n@[category research open, AMS 28 52]\ntheorem green_85 :\n  answer(sorry) \u2194 \u2203 c > 0, \u2200 A : Set (\u211d \u00d7 \u211d),\n    IsOpen A \u2192\n    A \u2286 Icc 0 1 \u00d7\u02e2 Icc 0 1 \u2192\n    A.Nonempty \u2192\n    let \u03b1 := (volume A).toReal\n    \u2203 x\u2081 x\u2082 y\u2081 y\u2082,\n      {(x\u2081, y\u2081), (x\u2082, y\u2081), (x\u2082, y\u2082), (x\u2081, y\u2082)} \u2286 A \u2227\n      c * \u03b1 ^ 2 \u2264 |x\u2081 - x\u2082| * |y\u2081 - y\u2082| := by\n  sorry\n"", ""similarity"": 1.0, ""url"": ""https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Green85.green_85""}",,,False,,,,True,,
math/0604362v1,retracted,,desconocido — posiblemente ya conocido en literatura de mixing times (LPW?),MATCH_ENCONTRADO_PENDIENTE_D3,"[{""title"": ""Rapid mixing from spectral independence beyond the Boolean domain"", ""arxiv_id"": ""2007.08091"", ""score"": 0.756, ""source"": ""theoremsearch""}, {""title"": ""Shuffling via Transpositions"", ""arxiv_id"": ""2504.07918"", ""score"": 0.745, ""source"": ""theoremsearch""}, {""title"": ""Cutoff for a One-sided Transposition Shuffle"", ""arxiv_id"": ""1907.12074"", ""score"": 0.739, ""source"": ""theoremsearch""}, {""title"": ""Topics in Markov chains: mixing and escape rate"", ""arxiv_id"": ""1506.04850"", ""score"": 0.737, ""source"": ""theoremsearch""}, {""title"": ""The Spectral Gap of Sparse Random Digraphs"", ""arxiv_id"": ""1708.00530"", ""score"": 0.729, ""source"": ""theoremsearch""}]","{""lean_name"": ""eVariationOn.sum_le"", ""statement"": ""theorem sum_le {f : \u03b1 \u2192 E} {s : Set \u03b1} {n : \u2115} {u : \u2115 \u2192 \u03b1} (hu : Monotone u) (us : \u2200 i, u i \u2208 s) :\n    (\u2211 i \u2208 Finset.range n, edist (f (u (i + 1))) (f (u i))) \u2264 eVariationOn f s :=\n  le_iSup_of_le \u27e8n, u, hu, us\u27e9 le_rfl\n"", ""similarity"": 1.0, ""url"": ""https://leanprover-community.github.io/mathlib4_docs/find/?pattern=eVariationOn.sum_le""}",,,False,,,,True,,
